train_acc,step,train_loss,epoch,val_loss,val_acc
0.921875,49,0.2194320410490036,0,,
0.890625,99,0.2858152985572815,0,,
0.953125,149,0.20916436612606049,0,,
0.953125,199,0.2009478211402893,0,,
0.921875,249,0.2466614544391632,0,,
0.953125,299,0.16394531726837158,0,,
0.984375,349,0.16861584782600403,0,,
0.96875,399,0.2213623821735382,0,,
0.96875,449,0.16448399424552917,0,,
0.90625,499,0.34376731514930725,0,,
0.9375,549,0.2709239721298218,0,,
0.953125,599,0.16784466803073883,0,,
0.984375,649,0.1480378955602646,0,,
0.9375,699,0.26524338126182556,0,,
0.9375,749,0.2623526155948639,0,,
0.890625,799,0.22444990277290344,0,,
0.953125,849,0.18889084458351135,0,,
0.96875,899,0.18303368985652924,0,,
,936,,0,0.45306989550590515,0.8923277258872986
0.984375,949,0.1684281826019287,1,,
0.921875,999,0.23262260854244232,1,,
0.96875,1049,0.16313990950584412,1,,
0.984375,1099,0.1775265783071518,1,,
0.984375,1149,0.1572602391242981,1,,
0.9375,1199,0.3478812575340271,1,,
1.0,1249,0.11202027648687363,1,,
0.921875,1299,0.2678523659706116,1,,
0.921875,1349,0.22142449021339417,1,,
1.0,1399,0.1323569118976593,1,,
0.953125,1449,0.18447130918502808,1,,
0.953125,1499,0.16052260994911194,1,,
0.921875,1549,0.24117687344551086,1,,
0.953125,1599,0.25139471888542175,1,,
0.984375,1649,0.1365959197282791,1,,
0.9375,1699,0.211173415184021,1,,
0.984375,1749,0.14387594163417816,1,,
0.96875,1799,0.18548224866390228,1,,
0.984375,1849,0.1084362119436264,1,,
,1873,,1,0.45964065194129944,0.8962339758872986
0.953125,1899,0.18651774525642395,2,,
0.921875,1949,0.19249257445335388,2,,
0.984375,1999,0.12681569159030914,2,,
0.953125,2049,0.16894423961639404,2,,
0.9375,2099,0.25894713401794434,2,,
0.9375,2149,0.3265555799007416,2,,
0.953125,2199,0.2001737356185913,2,,
0.96875,2249,0.18088406324386597,2,,
1.0,2299,0.14745256304740906,2,,
0.90625,2349,0.3297174274921417,2,,
0.953125,2399,0.19038990139961243,2,,
0.9375,2449,0.22411340475082397,2,,
0.921875,2499,0.2776148021221161,2,,
0.96875,2549,0.2099495828151703,2,,
0.890625,2599,0.32007578015327454,2,,
0.984375,2649,0.1163189560174942,2,,
0.953125,2699,0.1976044923067093,2,,
0.96875,2749,0.201681450009346,2,,
0.921875,2799,0.23999738693237305,2,,
,2810,,2,0.47960594296455383,0.8868188858032227
0.953125,2849,0.21101611852645874,3,,
0.9375,2899,0.22107726335525513,3,,
0.953125,2949,0.23204848170280457,3,,
1.0,2999,0.11440780758857727,3,,
0.96875,3049,0.1651325523853302,3,,
0.953125,3099,0.25054433941841125,3,,
0.96875,3149,0.1910458207130432,3,,
0.984375,3199,0.1456625759601593,3,,
0.96875,3249,0.17066028714179993,3,,
0.953125,3299,0.21144643425941467,3,,
0.96875,3349,0.14683474600315094,3,,
0.921875,3399,0.21623089909553528,3,,
0.984375,3449,0.1463504433631897,3,,
0.953125,3499,0.23462417721748352,3,,
0.953125,3549,0.18674007058143616,3,,
0.96875,3599,0.16062615811824799,3,,
1.0,3649,0.11086741089820862,3,,
0.984375,3699,0.1425892412662506,3,,
,3747,,3,0.4678119719028473,0.8899238705635071
0.953125,3749,0.24825359880924225,4,,
0.953125,3799,0.1487407088279724,4,,
0.984375,3849,0.13425618410110474,4,,
0.921875,3899,0.22331048548221588,4,,
0.9375,3949,0.3480672240257263,4,,
0.984375,3999,0.18419687449932098,4,,
0.984375,4049,0.12729690968990326,4,,
0.96875,4099,0.15837861597537994,4,,
0.96875,4149,0.15050837397575378,4,,
0.96875,4199,0.14281217753887177,4,,
0.953125,4249,0.17034685611724854,4,,
0.984375,4299,0.19012513756752014,4,,
0.96875,4349,0.15817195177078247,4,,
0.921875,4399,0.25817492604255676,4,,
0.96875,4449,0.16172409057617188,4,,
0.984375,4499,0.12788811326026917,4,,
0.9375,4549,0.21056216955184937,4,,
1.0,4599,0.10077927261590958,4,,
0.953125,4649,0.17281010746955872,4,,
,4684,,4,0.47356706857681274,0.8939303159713745
0.984375,4699,0.1261667013168335,5,,
0.9375,4749,0.1883920431137085,5,,
1.0,4799,0.11439801752567291,5,,
0.921875,4849,0.25022849440574646,5,,
0.984375,4899,0.13295266032218933,5,,
0.984375,4949,0.13367468118667603,5,,
0.984375,4999,0.10116037726402283,5,,
0.953125,5049,0.3023017644882202,5,,
0.9375,5099,0.2110191285610199,5,,
0.953125,5149,0.20228806138038635,5,,
0.953125,5199,0.19258499145507812,5,,
0.984375,5249,0.14030909538269043,5,,
0.96875,5299,0.1273234486579895,5,,
0.890625,5349,0.40478500723838806,5,,
0.96875,5399,0.21140772104263306,5,,
0.953125,5449,0.17298611998558044,5,,
0.953125,5499,0.1695604920387268,5,,
0.953125,5549,0.15320086479187012,5,,
0.984375,5599,0.1553761214017868,5,,
,5621,,5,0.4755852520465851,0.8918269276618958
