train_acc,step,train_loss,epoch
0.765625,49,0.7385592460632324,0
0.75,99,0.7211949229240417,0
0.84375,149,0.5493547916412354,0
0.75,199,0.6551989316940308,0
0.78125,249,0.530960202217102,0
0.765625,299,0.6521245241165161,0
0.859375,349,0.42947763204574585,0
0.828125,399,0.4579029977321625,0
0.84375,449,0.47827163338661194,0
0.78125,499,0.8118876814842224,0
0.84375,549,0.3699720501899719,0
0.859375,599,0.41514497995376587,0
0.859375,649,0.4444042146205902,0
0.875,699,0.3946135938167572,0
0.859375,749,0.4021913409233093,0
0.890625,799,0.39273801445961,0
0.8125,849,0.4366348385810852,0
0.828125,899,0.39561134576797485,0
0.90625,949,0.41947299242019653,1
0.875,999,0.3942524790763855,1
0.875,1049,0.36672547459602356,1
0.828125,1099,0.4922632575035095,1
0.890625,1149,0.5313695669174194,1
0.828125,1199,0.4904693365097046,1
0.90625,1249,0.38428574800491333,1
0.90625,1299,0.34850865602493286,1
0.90625,1349,0.40395212173461914,1
0.9375,1399,0.27953487634658813,1
0.90625,1449,0.3186286985874176,1
0.953125,1499,0.29045990109443665,1
0.875,1549,0.39412909746170044,1
0.828125,1599,0.3992076814174652,1
0.84375,1649,0.4054524898529053,1
0.890625,1699,0.37458673119544983,1
0.890625,1749,0.34732872247695923,1
0.84375,1799,0.4266660809516907,1
0.890625,1849,0.36687687039375305,1
0.859375,1899,0.3804934620857239,2
0.859375,1949,0.3812280297279358,2
0.90625,1999,0.3947802484035492,2
0.828125,2049,0.40193071961402893,2
0.875,2099,0.33034950494766235,2
0.921875,2149,0.3709723651409149,2
0.828125,2199,0.5345680117607117,2
0.890625,2249,0.3078441619873047,2
0.9375,2299,0.27778470516204834,2
0.8125,2349,0.4842662811279297,2
0.9375,2399,0.28285056352615356,2
0.90625,2449,0.3606329560279846,2
0.921875,2499,0.2946265935897827,2
0.890625,2549,0.3331451714038849,2
0.859375,2599,0.3824498653411865,2
0.84375,2649,0.4998224079608917,2
0.953125,2699,0.2751948833465576,2
0.875,2749,0.45043307542800903,2
0.90625,2799,0.28957852721214294,2
